date,time,date_time,roadway,intersection,report_number,address,latitude,longitude
6/30/18,2000,6/30/18 20:00,N CENTRAL AV,,2018006339,"N CENTRAL AV, Greenburgh, NY",41.0578264,-73.8169616
7/8/18,1152,7/8/18 11:52,500 TOWN GREEN DR,,2018006430,"500 TOWN GREEN DR, Greenburgh, NY",41.0500011,-73.8303299351695
7/3/18,1720,7/3/18 17:20,CLAYTON RD,MOORLAND DR,2018006455,"CLAYTON RD AND MOORLAND DR, Greenburgh, NY",41.002906,-73.82023
7/9/18,820,7/9/18 8:20,DOBBS FERRY RD,,2018006620,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
7/10/18,2045,7/10/18 20:45,SAW MILL RIVER RD,,2018006698,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
7/13/18,1530,7/13/18 15:30,E HARTSDALE AV,ROCKLEDGE RD,2018006800,"E HARTSDALE AV AND ROCKLEDGE RD, Greenburgh, NY",41.0107609,-73.7965313
7/15/18,5,7/15/18 5:05,OLD FARM LN,,2018006846,"OLD FARM LN, Greenburgh, NY",41.020948,-73.817613
7/21/18,1057,7/21/18 10:57,SAW MILL RIVER RD,,2018007031,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
7/22/18,1139,7/22/18 11:39,PALISADE AV,,2018007056,"PALISADE AV, Greenburgh, NY",41.031712,-73.831676
7/24/18,1519,7/24/18 15:19,GRASSLANDS RD,,2018007121,"GRASSLANDS RD, Greenburgh, NY",41.070303,-73.78745
7/25/18,946,7/25/18 9:46,VIRGINIA RD,HILLSIDE AV,2018007146,"VIRGINIA RD AND HILLSIDE AV, Greenburgh, NY",41.0609277,-73.7729742
9/8/18,1205,9/8/18 12:05,TAXTER RD,RT 119,2018008613,"TAXTER RD AND RT 119, Greenburgh, NY",41.0587471,-73.828686
9/26/18,1800,9/26/18 18:00,KNOLLWOOD RD,,2018009177,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
11/22/18,2226,11/22/18 22:26,SARATOGA RD,,2018011186,"SARATOGA RD, Greenburgh, NY",41.035854,-73.791196
12/8/18,315,12/8/18 3:15,TARRYTOWN RD,,2018011663,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
2/10/18,1406,2/10/18 14:06,S CENTRAL AV,,2018001399,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
3/9/18,1405,3/9/18 14:05,N CENTRAL AV,,2018002339,"N CENTRAL AV, Greenburgh, NY",41.0578264,-73.8169616
3/23/18,1030,3/23/18 10:30,S CENTRAL AV,,2018002840,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
4/16/18,1807,4/16/18 18:07,WHITE PLAINS RD,9,2018003628,"WHITE PLAINS RD AND 9, Greenburgh, NY",41.0636999333333,-73.8620654
4/26/18,1236,4/26/18 12:36,KNOLLWOOD RD,,2018003976,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
4/27/18,1745,4/27/18 17:45,KNOLLWOOD RD,,2018004017,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
5/6/18,1519,5/6/18 15:19,S CENTRAL AV,,2018004339,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
5/16/18,1017,5/16/18 10:17,KNOLLWOOD RD,,2018004725,"KNOLLWOOD RD, Greenburgh, NY",41.0456548,-73.8047319
5/16/18,1634,5/16/18 16:34,EXECUTIVE BLVD,WESTCHESTER PLZ,2018004735,"EXECUTIVE BLVD AND WESTCHESTER PLZ, Greenburgh, NY",41.070134,-73.807413
6/7/18,1726,6/7/18 17:26,TARRYTOWN RD,,2018005514,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
6/30/18,702,6/30/18 7:02,TARRYTOWN RD,,2018006315,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
10/9/18,1749,10/9/18 17:49,320 SAW MILL,RIVER RD,2018009610,"320 SAW MILL AND RIVER RD, Greenburgh, NY",41.0702362419355,-73.8168998427419
10/12/18,1639,10/12/18 16:39,188 TARRYTOWN RD,,2018009716,"188 TARRYTOWN RD, Greenburgh, NY",41.0502167222222,-73.8110577222222
6/4/18,1728,6/4/18 17:28,ARDSLEY RD,,2018005402,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
12/15/18,1048,12/15/18 10:48,SPRAIN VALLEY RD,,2018011900,"SPRAIN VALLEY RD, Greenburgh, NY",40.993408,-73.834602
10/17/18,2010,10/17/18 20:10,CLEARBROOK RD,,2018009887,"CLEARBROOK RD, Greenburgh, NY",41.072826,-73.814058
10/5/18,1110,10/5/18 11:10,SAW MILL RIVER RD,,2018009460,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
10/5/18,1436,10/5/18 14:36,TARRYTOWN RD,,2018009472,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
9/11/18,815,9/11/18 8:15,SAW MILL RIVER ROAD,,2018008679,"SAW MILL RIVER ROAD, Greenburgh, NY",41.0115345,-73.8483435
11/16/18,1930,11/16/18 19:30,NORTH CENTRAL AVE,,2018010961,"NORTH CENTRAL AVE, Greenburgh, NY",41.0578264,-73.8169616
1/2/18,1656,1/2/18 16:56,45 E HARTSDALE AV,,2018000056,"45 E HARTSDALE AV, Greenburgh, NY",41.0166446727726,-73.7968730674438
1/6/18,825,1/6/18 8:25,111 S CENTRAL AV,,2018000185,"111 S CENTRAL AV, Greenburgh, NY",41.0123246107383,-73.8059369295302
1/6/18,1045,1/6/18 10:45,W HARTSDALE AV,,2018000191,"W HARTSDALE AV, Greenburgh, NY",41.026784,-73.807664
1/10/18,819,1/10/18 8:19,ARDSLEY RD,,2018000322,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
1/10/18,945,1/10/18 9:45,W HARTSDALE AV,,2018000326,"W HARTSDALE AV, Greenburgh, NY",41.026784,-73.807664
1/10/18,1642,1/10/18 16:42,HILLSIDE AV,,2018000338,"HILLSIDE AV, Greenburgh, NY",41.0452952,-73.790382
1/18/18,757,1/18/18 7:57,WHITE PLAINS RD,,2018000608,"WHITE PLAINS RD, Greenburgh, NY",41.0594236,-73.8293423
1/18/18,1620,1/18/18 16:20,OLD TARRYTOWN RD,,2018000634,"OLD TARRYTOWN RD, Greenburgh, NY",41.052261,-73.801704
1/20/18,1505,1/20/18 15:05,531 S CENTRAL AV,,2018000703,"531 S CENTRAL AV, Greenburgh, NY",41.0138914840579,-73.8045248757221
1/23/18,1756,1/23/18 17:56,OLD SAW MILL RIVER RD,,2018000805,"OLD SAW MILL RIVER RD, Greenburgh, NY",41.0735826,-73.8176604
1/25/18,840,1/25/18 8:40,E HARTSDALE AV,,2018000853,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
1/26/18,956,1/26/18 9:56,TARRYTOWN RD,,2018000889,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
1/27/18,1248,1/27/18 12:48,JACKSON AV,,2018000928,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
1/31/18,1730,1/31/18 17:30,TARRYTOWN RD,,2018001090,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
2/7/18,1253,2/7/18 12:53,300 W HARTSDALE AV,,2018001292,"300 W HARTSDALE AV, Greenburgh, NY",41.026858,-73.807806
2/7/18,1515,2/7/18 15:15,GLENDALE RD,,2018001296,"GLENDALE RD, Greenburgh, NY",41.002575,-73.824165
2/10/18,946,2/10/18 9:46,ARDSLEY RD,,2018001392,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
2/15/18,1900,2/15/18 19:00,TARRYTOWN RD,,2018001563,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
2/17/18,1926,2/17/18 19:26,SAW MILL RIVER RD,,2018001640,"SAW MILL RIVER RD, Greenburgh, NY",41.0115345,-73.8483435
2/23/18,1137,2/23/18 11:37,W HARTSDALE AV,,2018001811,"W HARTSDALE AV, Greenburgh, NY",41.026784,-73.807664
2/24/18,1810,2/24/18 18:10,E HARTSDALE AC,,2018001866,"E HARTSDALE AC, Greenburgh, NY",41.0189863,-73.7981884
3/6/18,830,3/6/18 8:30,WHITE PLAINS RD,,2018002214,"WHITE PLAINS RD, Greenburgh, NY",41.0594236,-73.8293423
3/6/18,1827,3/6/18 18:27,S CENTRAL AV,,2018002245,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
3/8/18,1230,3/8/18 12:30,TARRYTOWN RD,,2018002299,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
3/10/18,1238,3/10/18 12:38,ARDSLEY RD,,2018002369,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
3/11/18,1515,3/11/18 15:15,S CENTRAL AV,,2018002396,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
3/12/18,946,3/12/18 9:46,JACKSON AV,,2018002418,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
3/1/18,1715,3/1/18 17:15,SUNRISE LN,,2018002456,"SUNRISE LN, Greenburgh, NY",40.986175,-73.833596
3/15/18,1101,3/15/18 11:01,300 S CENTRAL AV,,2018002545,"300 S CENTRAL AV, Greenburgh, NY",41.012695,-73.805538
3/17/18,2102,3/17/18 21:02,JACKSON AV,,2018002630,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
3/24/18,1759,3/24/18 17:59,114 S CENTRAL AV,,2018002886,"114 S CENTRAL AV, Greenburgh, NY",41.0123304899329,-73.8059305973154
3/26/18,1410,3/26/18 14:10,381 KNOLLWOOD RD,,2018002930,"381 KNOLLWOOD RD, Greenburgh, NY",41.0557465444889,-73.8054917356431
3/26/18,1551,3/26/18 15:51,DOBBS FERRY RD,,2018002935,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
3/29/18,920,3/29/18 9:20,TARRYTOWN,49 TARRYTOWN RD,2018003026,"TARRYTOWN AND 49 TARRYTOWN RD, Greenburgh, NY",41.0453336122449,-73.8038698979592
4/6/18,1215,4/6/18 12:15,TARRYTOWN RD,,2018003273,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
