date,time,date_time,roadway,intersection,report_number
6/27/18,2039,6/27/18 20:39,KNOLLWOOD RD,GRASSLANDS RD,2018006225
6/30/18,1155,6/30/18 11:55,TARRYTOWN RD,ROSEMONT BLVD,2018006323
6/30/18,1700,6/30/18 17:00,CENTRAL AV,E HARTSDALE AV,2018006338
7/1/18,946,7/1/18 9:46,TARRYTOWN RD,AQUEDUCT RD,2018006352
7/2/18,1542,7/2/18 15:42,SHELDON ST,FAITH LN,2018006395
7/3/18,1315,7/3/18 13:15,S CENTRAL AV,E HARTSDALE AV,2018006441
7/3/18,1700,7/3/18 17:00,W HARTSDALE AV,HILLCREST RD,2018006453
7/10/18,1159,7/10/18 11:59,BENEDICT AV,,2018006672
7/10/18,1830,7/10/18 18:30,E HARTSDALE AV,OLD COLONY RD,2018006688
7/12/18,1109,7/12/18 11:09,HILLSIDE AV,NORTH RD,2018006753
7/14/18,830,7/14/18 8:30,SAW MILL RIVER RD,PAYNE ST,2018006814
7/15/18,1450,7/15/18 14:50,TAXTER RD,W MAIN ST,2018006847
7/15/18,1839,7/15/18 18:39,S CENTRAL AV,,2018006852
7/16/18,36,7/16/18 3:36,TARRYTOWN RD,AQUEDUCT RD,2018006863
7/16/18,1852,7/16/18 18:52,OLD TARRYTOWN RD,COOPER RD,2018006887
7/17/18,1759,7/17/18 17:59,GRASSLANDS RD,SPRAIN BROOK PKW,2018006914
7/20/18,815,7/20/18 8:15,W HARTSDALE AV,,2018007003
7/21/18,856,7/21/18 8:56,SPRAIN BROOK PKWY,GRASSLANDS RD,2018007027
7/26/18,1335,7/26/18 13:35,S CENTRAL,N WASHINGTON AV,2018007198
7/26/18,1427,7/26/18 14:27,DOBBS FERRY RD,PALISADE AV,2018007201
7/26/18,1530,7/26/18 15:30,E HARTSDALE AV,,2018007211
8/6/18,1028,8/6/18 10:28,E. HARTSDALE AVE,,2018007532
10/19/18,1529,10/19/18 15:29,GRASSLANDS RD,SAW MILL RIVER RD,2018009960
11/1/18,847,11/1/18 8:47,50 TARRYTOWN RD,,2018010413
11/18/18,144,11/18/18 1:44,RTE 100 B,SPENCER CT,2018011006
12/6/18,1115,12/6/18 11:15,CENTRAL PK AV,,2018011601
10/3/18,1922,10/3/18 19:22,W HARTSDALE AV,,2018009407
9/21/18,1520,9/21/18 15:20,JACKSON AVE,GRASSY SPRAIN RD,2018008994
9/26/18,1321,9/26/18 13:21,MT JOY AVE,,2018009168
10/15/18,830,10/15/18 8:30,516 TARRYTOWN RD.,,2018009787
10/20/18,1400,10/20/18 14:00,UNDERHILL RD,SPRAIN RD,2018010001
12/6/18,1100,12/6/18 11:00,DOBS FERRY RD,TARRYTOWN RD,2018011599
8/10/18,1110,8/10/18 11:10,TARRYTOWN RD,I 287,2018007669
10/24/18,1604,10/24/18 16:04,GRASSLANDS RD,TAYLOR RD,2018010146
11/19/18,1529,11/19/18 15:29,TARRYTOWN RD,,2018011069
11/27/18,852,11/27/18 8:52,ARDSLEY RD,LYNWOOD RD,2018011323
10/3/18,1115,10/3/18 11:15,S. CENTRAL AVE,,2018009381
8/31/18,1218,8/31/18 12:18,1169 KNOLLWOOD RD,,2018008362
10/5/18,1359,10/5/18 13:59,SAW MILL RIVER RD,,2018009468
10/14/18,1210,10/14/18 12:10,SPRAIN RD,ARDSLEY RD,2018009766
11/16/18,1305,11/16/18 13:05,JACKSON AVE,SPRAIN RD,2018010941
11/17/18,1824,11/17/18 18:24,MT JOY,,2018010996
8/15/18,1700,8/15/18 17:00,81 KNOLLWOOD RD,,2018007834
12/28/18,1401,12/28/18 14:01,N CENTRAL AVE,HARVARD DR,2018012311
12/28/18,1523,12/28/18 15:23,S CENTRAL AVE,,2018012314
7/16/18,36,7/16/18 3:36,20 TARRYTOWN RD,AQUEDUCT RD,2018006863
9/11/18,1259,9/11/18 12:59,KNOLLWOOD RD,,2018008686
9/26/18,1545,9/26/18 15:45,OLD ARMY RD,S CENTRAL AVE,2018009174
10/9/18,642,10/9/18 6:42,JACKSON AVE,,2018009585
10/18/18,1420,10/18/18 14:20,S CENTRAL AVE,,2018009911
10/18/18,938,10/18/18 9:38,OLD ARMY RD,S CENTRAL AVE,2018009897
10/30/18,1755,10/30/18 17:55,SPRAIN RD,ARDSLEY RD,2018010377
11/3/18,906,11/3/18 9:06,ARDSLEY RD,LYNWOOD RD,2018010483
11/9/18,1111,11/9/18 11:11,ARDSLEY RD,LYNWOOD RD,2018010721
11/15/18,1530,11/15/18 15:30,CENTRAL AVE,,2018010897
11/19/18,734,11/19/18 7:34,SAW MILL RIVER RD,,2018011042
11/20/18,2229,11/20/18 22:29,CONCORD AV,,2018011119
11/21/18,1335,11/21/18 13:35,ARDSLEY RD,LYNWOOD RD,2018011134
12/2/18,1610,12/2/18 16:10,26 S. CENTRAL AVE,,2018011488
12/10/18,1335,12/10/18 13:35,SPRAIN RD,JACKSON AV,2018011738
12/24/18,1111,12/24/18 11:11,N. CENTRAL AV,N. WASHINGTON AV,2018012194
8/1/18,1530,8/1/18 15:30,JACKSON AVE,ANDREWS WAY,2018007399
8/19/18,1546,8/19/18 15:46,JACKSON AVE,GRASSY SPRAIN RD,2018007965
9/4/18,1247,9/4/18 12:47,ARDSLEY RD,,2018008488
9/5/18,1900,9/5/18 19:00,CENTRAL AVE,,2018008525
9/10/18,1115,9/10/18 11:15,E. HARTSDALE AVE,CLUBWAY,2018008658
9/15/18,1630,9/15/18 16:30,SAW MILL RIVER RD,,2018008800
9/21/18,1455,9/21/18 14:55,CENTRAL AVE,UNDERHILL RD,2018008991
9/22/18,1605,9/22/18 16:05,CENTRAL AV,,2018009027
9/26/18,1535,9/26/18 15:35,S. CENTRAL AVE,ARDSLEY RD,2018009172
9/28/18,1330,9/28/18 13:30,HUNTER LN,SAW MILL RIVER RD,2018009234
9/28/18,1824,9/28/18 18:24,JACKSON AVE,SPRAIN RD,2018009242
11/1/18,1412,11/1/18 14:12,JACKSON AVE,GRASSY SPRAIN RD,2018010422
11/2/18,1930,11/2/18 19:30,CENTRAL AVE,N.WASHINGTON AVE,2018010476
11/4/18,1520,11/4/18 15:20,CENTRAL AVE,MT. JOY AVE,2018010526
11/7/18,1703,11/7/18 17:03,JACKSON AVE,GRASSY SPRAIN RD,2018010651
12/4/18,855,12/4/18 8:55,ARDSLEY RD,CENTRAL AVE,2018011531
12/12/18,1700,12/12/18 17:00,JACKSON AVE,GRASSY SPRAIN RD,2018011818
12/18/18,1120,12/18/18 11:20,ARDSLEY RD,,2018011987
12/23/18,1517,12/23/18 15:17,S CENTRAL AVE,,2018012168
12/31/18,1820,12/31/18 18:20,CENTRAL AVE,,2018012391
7/10/18,1242,7/10/18 12:42,HILLSIDE AVE,MCLEAN AVE,2018006676
7/27/18,1225,7/27/18 12:25,SAW MILL RIVER RD,SAW MILL RIVER RD,2018007227
8/6/18,922,8/6/18 9:22,TARRYTOWN RD,DOBBS FERRY RD,2018007530
8/9/18,1017,8/9/18 10:17,VIRGINIA RD,LAWRENCE DR,2018007631
8/13/18,1235,8/13/18 12:35,TARRYTOWN RD,,2018007767
9/8/18,1353,9/8/18 13:53,SAW MILL RIVER RD,,2018008616
9/12/18,2011,9/12/18 20:11,SAW MILL RIVER RD,,2018008717
9/14/18,744,9/14/18 7:44,JACKSON AVE,,2018008755
9/28/18,849,9/28/18 8:49,GRASSLANDS RD,,2018009219
9/30/18,2000,9/30/18 20:00,44 ROSEMONT BLVD,,2018009312
10/1/18,1851,10/1/18 18:51,OLD TARRYTOWN RD,HILLSIDE AVE,2018009328
10/2/18,1210,10/2/18 12:10,SAW MILL RIVER RD,,2018009354
10/3/18,1331,10/3/18 13:31,KNOLLWOOD RD,GRASSLANDS RD,2018009386
10/9/18,812,10/9/18 8:12,GRASSLANDS RD,LEGION DR,2018009589
10/10/18,1157,10/10/18 11:57,PARKING LOT 540 SAW M,SAW MILL RIVER RD,2018009633
10/15/18,1942,10/15/18 19:42,TARRYTOWN RD,OLD KENSICO RD,2018009810
10/16/18,1057,10/16/18 10:57,OLD TARRYTOWN RD,HILLSIDE AVE,2018009828
10/18/18,1722,10/18/18 17:22,TAXTER RD,,2018009924
10/23/18,1644,10/23/18 16:44,KNOLLWOOD RD,NYS I-287 EASTBOUN,2018010115
10/25/18,728,10/25/18 7:28,DOBBS FERRY RD,,2018010174
11/1/18,1207,11/1/18 12:07,GRASSLANDS RD,VIRGINIA RD,2018010421
11/6/18,759,11/6/18 7:59,DOBBS FERRY RD,,2018010574
11/8/18,834,11/8/18 8:34,NOTH RD,,2018010671
11/26/18,1202,11/26/18 12:02,PAYNE ST,CABOT AVE,2018011291
12/6/18,747,12/6/18 7:47,TARRYTOWN RD,FULTON ST,2018011593
12/27/18,1730,12/27/18 17:30,TARRYTOWN RD,KNOLLWOOD RD,2018012280
8/22/18,1249,8/22/18 12:49,1 WAREHOUSE LN,,2018008041
9/16/18,1042,9/16/18 10:42,E HARTSDALE AVE,,2018008820
9/21/18,1525,9/21/18 15:25,SAW MILL RIVER ROAD,HUNTER LANE,2018008998
9/23/18,1023,9/23/18 10:23,WHITE PLAINS RD,DUNNINGS DR,2018009049
9/26/18,750,9/26/18 7:50,SAW MILL RIVER ROAD,FAIRVIEW PARK DRIV,2018009149
10/4/18,1545,10/4/18 15:45,VIRGINIA ROAD,86 VIRGINIA ROAD,2018009437
10/18/18,1808,10/18/18 18:08,DOBBS FERRY RD,,2018009925
10/22/18,1637,10/22/18 16:37,OLD TARRYTOWN RD,MAHATTAN AV,2018010078
10/22/18,1849,10/22/18 18:49,SAW MILL RIVER RD,HUNTER LN,2018010085
10/29/18,905,10/29/18 9:05,OLD SAW MILL RIVER RD,315 OLD SAW MILL R,2018010322
12/6/18,749,12/6/18 7:49,OLD SAW MILL RIVER RD,SAW MILL RIVER RD,2018011594
12/8/18,315,12/8/18 3:15,50 TARRYTOWN RD,50 TARRYTOWN RD,2018011660
12/14/18,1559,12/14/18 15:59,SAW MILL RIVER RD,,2018011877
12/18/18,1106,12/18/18 11:06,SAW MILL RIVER RD,,2018011988
12/21/18,855,12/21/18 8:55,VIRGINIA RD,BRONX RIVER PARKW,2018012080
12/21/18,2102,12/21/18 21:02,SAW MILL RIVER RD,PAYNE ST,2018012113
12/27/18,1451,12/27/18 14:51,DOBBS FERRY RD,SAW MILL RIVER RD,2018012272
12/31/18,2008,12/31/18 20:08,GRASSLANDS RD,,2018012396
8/3/18,1821,8/3/18 18:21,TARRYTOWN RD,,2018007473
8/24/18,1856,8/24/18 18:56,525 TARRYTOWN RD,,2018008126
9/29/18,1031,9/29/18 10:31,TARRYTOWN RD,WYOMING AVE,2018009260
10/1/18,1500,10/1/18 15:00,S CENTRAL AVE,UNDERHILL RD,2018009323
10/3/18,1856,10/3/18 18:56,HILLSIDE AVE,,2018009403
10/9/18,1509,10/9/18 15:09,S CENTRAL AVE,,2018009604
10/17/18,1606,10/17/18 16:06,SECOR RD,PINE ST,2018009877
10/25/18,2200,10/25/18 22:00,CEMETARY RD,BRONX RIVER PKWY,2018010216
11/30/18,925,11/30/18 9:25,SAW MILL RIVER RD,PARK AVE W,2018011420
10/2/18,839,10/2/18 8:39,GRASSLANDS RD,CLEARBROOK RD,2018009342
11/23/18,1534,11/23/18 15:34,JACKSON AVE,,2018011205
11/26/18,1745,11/26/18 17:45,CENTRAL AVE,UNDERHILL RD,2018011305
7/28/18,930,7/28/18 9:30,KNOLLWOOD RD,OLD TARRYTOWN RD,2018007263
8/30/18,1751,8/30/18 17:51,E HARSTDALE AVE,,2018008324
9/23/18,1251,9/23/18 12:51,HARTSDALE RD,W HARSTDALE RD,2018009051
9/24/18,1527,9/24/18 15:27,SECOR RD,TENNYSON RD,2018009086
10/6/18,1830,10/6/18 18:30,SPRAIN RD,,2018009514
10/18/18,1556,10/18/18 15:56,N CENTRAL AVE,LAUREL ST,2018009915
10/29/18,1751,10/29/18 17:51,DOBBS FERRY RD,SPENCER CT,2018010348
11/5/18,1900,11/5/18 19:00,HIGHPOINT RD,,2018010563
11/6/18,1442,11/6/18 14:42,WHITE PLAINS RD,,2018010594
11/7/18,1300,11/7/18 13:00,SAW MILL RIVER RD,LAMONT ST,2018010636
11/21/18,803,11/21/18 8:03,TARRYTOWN RD,,2018011123
11/29/18,1811,11/29/18 18:11,TARRYTOWN RD,,2018011411
12/9/18,1110,12/9/18 11:10,610 WEST HARTSDALE,,2018011703
12/17/18,1155,12/17/18 11:55,KNOLLWOOD RD,,2018011957
12/17/18,1730,12/17/18 17:30,N CENTRAL AVE,CHATTERTON PKWY,2018011969
12/22/18,1640,12/22/18 16:40,TARRYTOWN RD,,2018012144
7/27/18,1355,7/27/18 13:55,FORT HILL RD,JACKSON AVE,2018007236
9/4/18,1401,9/4/18 14:01,TARRYTOWN RD,,2018008490
9/21/18,1450,9/21/18 14:50,W HARTSDALE AVE,CARLYLE PL,2018008992
10/3/18,901,10/3/18 9:01,DOBBS FERRY RD,,2018009374
10/5/18,1915,10/5/18 19:15,W. HARTSDALE AVE,DOBBS FERRY ROAD,2018009481
10/26/18,1100,10/26/18 11:00,SPRAIN ROAD,,20180010232
11/6/18,902,11/6/18 9:02,AQUEDUCT RD,TARRYTOWN RD  (1,2018010578
11/24/18,1445,11/24/18 14:45,AQUEDUCT ROAD,,2018011235
12/6/18,1645,12/6/18 16:45,E HARTSDALE AVE,ROCKLEDGE RD,2018011610
12/7/18,1909,12/7/18 19:09,S CENTRAL AVE,,2018011644
12/21/18,1116,12/21/18 11:16,104 W HARTSDALE AVE,PINEWOOD RD,2018012091
12/21/18,1334,12/21/18 13:34,JACKSON AVE,MENDAM AVE,2018012101
12/17/18,1935,12/17/18 19:35,JACKSON AVE,GRASSY SPRAIN RD,2018011974
8/7/18,2230,8/7/18 22:30,E HARTSDALE AVE,,20187584
8/1/18,1140,8/1/18 11:40,E HARTSDALE AVE,S CENTRAL AVE,2018007392
9/11/18,1528,9/11/18 15:28,N CENTRAL AVE,,2018008690
9/27/18,1511,9/27/18 15:11,79 HILLCREST RD,,2018009196
12/10/18,1328,12/10/18 13:28,50 E HARTSDALE AVE,,2018011740
8/24/18,1325,8/24/18 13:25,AQUEDUCT RD,TARRYTOWN RD,2018008114
9/18/18,2250,9/18/18 22:50,TARRYTOWN RD,,2018008905
8/24/18,1856,8/24/18 18:56,525 TARRYTOWN RD,,2018008126
9/26/18,1535,9/26/18 15:35,S. CENTRAL AVE,ARDSLEY RD,2018009172
10/22/18,1443,10/22/18 14:43,DOBBS FERRY RD,,2018010187
11/15/18,1700,11/15/18 17:00,CHATTERTON PKWY,N CENTRAL AVE,2018010938
11/16/18,1520,11/16/18 15:20,S CENTRAL AVE,CAMPUS PL,2018010938
11/15/18,500,11/15/18 5:00,SPRAIN VALLEY RD,,2018010949
11/1/18,1412,11/1/18 14:12,JACKSON AVE,GRASSY SPRAIN RD,2018010422
9/11/18,1528,9/11/18 15:28,N CENTRAL AVE,,2018008690
10/18/18,1947,10/18/18 19:47,S CENTRAL AVE,HEALY AVE S,2018009930
3/2/18,2128,3/2/18 21:28,W HARTSDALE AVE,MAPLEWOOD RD,2018002108
1/3/18,1750,1/3/18 17:50,TARRYTOWN RD,,2018000096
1/5/18,1039,1/5/18 10:39,150 E HARTSDALE AV,,2018000157
1/5/18,1645,1/5/18 16:45,SAW MILL RIVER RD,,2018000169
1/6/18,1415,1/6/18 14:15,S CENTRAL AV,,2018000202
1/9/18,900,1/9/18 9:00,SAW MILL RIVER RD,,2018000281
1/11/18,1812,1/11/18 18:12,KENT RD,,2018000393
1/25/18,1544,1/25/18 15:44,CENTRAL AV,DRIVEWAY 668 S CEN,2018000863
1/26/18,1053,1/26/18 10:53,S CENTRAL AV,UNDERHILL RD,2018000893
1/27/18,1449,1/27/18 14:49,JACKSON AV,SPRAIN RD,2018000937
1/31/18,849,1/31/18 8:49,JACKSON AV,SPRAIN BROOK PKW,2018001065
1/31/18,1551,1/31/18 15:51,TARRYTOWN RD,OLD KENSICO RD,2018001083
2/5/18,1912,2/5/18 19:12,HILLSIDE AV,OLD TARRYTOWN RD,2018001239
2/6/18,825,2/6/18 8:25,SAW MILL RIVER RD,,2018001248
2/13/18,900,2/13/18 9:00,SAW MILL RIVER RD,PAYNE ST,2018001460
2/13/18,1229,2/13/18 12:29,ARDSLEY RD,,2018001468
2/14/18,1218,2/14/18 12:18,N CENTRAL AV,,2018001517
2/16/18,1353,2/16/18 13:53,TARRYTOWN RD,AQUEDUCT RD,2018001593
2/17/18,1345,2/17/18 13:45,CENTRAL AV,CLIFTON RD,2018001628
2/20/18,1145,2/20/18 11:45,JACKSON AV,SPRAIN BROOK PKW,2018001707
2/21/18,1205,2/21/18 12:05,N CENTRAL AV,LAWTON AV,2018001740
2/23/18,1816,2/23/18 18:16,TARRYTOWN RD,,2018001834
2/25/18,826,2/25/18 8:26,S CENTRAL AV,,2018001880
2/26/18,815,2/26/18 8:15,41 ROCKLEDGE RD,,2018001909
2/20/18,1259,2/20/18 12:59,GRASSLANDS RD,TAYLOR RD,2018001924
2/27/18,1240,2/27/18 12:40,S CENTRAL AV,,2018001951
2/27/18,1310,2/27/18 13:10,SAW MILL RIVER RD,BEAVER HILL RD,2018001952
3/6/18,1620,3/6/18 16:20,KNOLLWOOD RD,,2018002238
3/6/18,2144,3/6/18 21:44,S CENTRAL AV,MIDWAY SHOPPING,2018002250
3/9/18,1535,3/9/18 15:35,WILSON ST,E HARTSDALE AV,2018002342
3/11/18,1024,3/11/18 10:24,W HARTSDALE RD,,2018002388
3/12/18,1555,3/12/18 15:55,SAW MILL RIVER RD,WAREHOUSE LN,2018002439
3/14/18,1508,3/14/18 15:08,OLIVER AV,AUGUSTINE RD,2018002509
3/16/18,1818,3/16/18 18:18,JACKSON AV,SPRAIN RD,2018002596
3/17/18,1132,3/17/18 11:32,S CENTRAL AV,,2018002616
3/17/18,1255,3/17/18 12:55,CENTRAL AV,CROSS ST,2018002621
3/18/18,1246,3/18/18 12:46,155 S CENTRAL AV,S WASHINGTON AV,2018002657
3/18/18,1920,3/18/18 19:20,S CENTRAL AV,,2018002670
3/19/18,829,3/19/18 8:29,S CENTRAL AV,,2018002683
3/19/18,1107,3/19/18 11:07,TARRYTOWN RD,YOSEMITE AV,2018002689
3/19/18,1322,3/19/18 13:22,156 S CENTRAL AV,,2018002693
3/20/18,1211,3/20/18 12:11,GRASSLANDS RD,SAW MILL RIVER RD,2018002737
3/22/18,1913,3/22/18 19:13,SAW MILL RIVER RD,WAREHOUSE LN,2018002821
3/23/18,1600,3/23/18 16:00,HILLSIDE AV,LONGDALE AV,2018002858
3/23/18,1640,3/23/18 16:40,TARRYTOWN RD,287,2018002861
3/26/18,948,3/26/18 9:48,KNOLLWOOD RD,I-287,2018002921
3/28/18,1810,3/28/18 18:10,JACKSON AV,,2018003002
3/31/18,1859,3/31/18 18:59,S CENTRAL AV,,2018003113
4/4/18,910,4/4/18 9:10,S CENTRAL AV,,2018003213
4/6/18,2104,4/6/18 21:04,TARRYTOWN RD,HILLSIDE AV,2018003290
4/7/18,1505,4/7/18 15:05,S CENTRAL AV,,2018003310
4/11/18,942,4/11/18 9:42,TARRYTOWN RD,,2018003434
4/12/18,807,4/12/18 8:07,S CENTRAL AV,,2018003466
4/13/18,1510,4/13/18 15:10,KNOLLWOOD RD,GRASSLANDS RD,2018003516
4/13/18,1740,4/13/18 17:40,HARTSDALE RD,DOBBS FERRY RD,2018003521
4/15/18,1252,4/15/18 12:52,677 HILLSIDE AV,,2018003574
4/15/18,1301,4/15/18 13:01,677 HILLSIDE AV,,2018003577
4/17/18,805,4/17/18 8:05,,,2018003649
4/17/18,1200,4/17/18 12:00,TARRYTOWN RD,45 TARRYTOWN RD,2018003656
4/18/18,1629,4/18/18 16:29,KNOLLWOOD RD,TARRYTOWN RD,2018003703
4/19/18,830,4/19/18 8:30,SAW MILL RIVER RD,,2018003717
4/19/18,1827,4/19/18 18:27,ROSEMONT BLVD,TARRYTOWN RD,2018003744
4/20/18,1251,4/20/18 12:51,KNOLLWOOD RD,,2018003772
4/20/18,1733,4/20/18 17:33,TARRYTOWN RD,,2018003782
4/25/18,952,4/25/18 9:52,HILLSIDE AV,,2018003933
4/28/18,1124,4/28/18 11:24,CENTRAL AV,ARDSLEY RD,2018004040
5/2/18,930,5/2/18 9:30,S CENTRAL AV,,2018004165
5/2/18,1245,5/2/18 12:45,SAW MILL RIVER RD,,2018004171
5/3/18,840,5/3/18 8:40,TARRYTOWN RD,,2018004203
5/3/18,1800,5/3/18 18:00,KEATS AV,,2018004230
5/9/18,737,5/9/18 7:37,W HARTSDALE AV,N WASHINGTON AV,2018004452
5/10/18,1547,5/10/18 15:47,WAREHOUSE LN,SAW MILL RIVER RD,2018004522
5/10/18,1710,5/10/18 17:10,1000 S CENTRAL AV,,2018004523
5/10/18,2314,5/10/18 23:14,JACKSON AV,MENDHAM AV,2018004531
5/12/18,1815,5/12/18 18:15,TARRYTOWN RD,287,2018004587
5/12/18,2020,5/12/18 20:20,TARRYTOWN RD,,2018004592
5/14/18,1651,5/14/18 16:51,15 WASHINGTON PL,,2018004663
5/17/18,1734,5/17/18 17:34,239 TARRYTOWN RD,,2018004779
5/24/18,1320,5/24/18 13:20,JACKSON AV,GRASSY SPRAIN RD,2018005012
5/25/18,1044,5/25/18 10:44,E HARTSDALE AV,,2018005033
5/29/18,1929,5/29/18 19:29,S CENTRAL AV,MARION AV,2018005196
5/30/18,1530,5/30/18 15:30,TARRYTOWN RD,GREENVALE CIR,2018005236
6/1/18,834,6/1/18 8:34,W HARTSDALE AV,,2018005295
6/2/18,1210,6/2/18 12:10,CENTRAL AV,,2018005340
6/5/18,1108,6/5/18 11:08,S CENTRAL AV,,2018005420
6/6/18,1400,6/6/18 14:00,HAYES ST,,2018005470
6/7/18,937,6/7/18 9:37,TARRYTOWN RD,,2018005502
6/8/18,740,6/8/18 7:40,KNOLLWOOD RD,TARRYTOWN RD,2018005549
6/9/18,1354,6/9/18 13:54,DOBBS FERRY RD,NEW ST,2018005569
6/11/18,1510,6/11/18 15:10,E HARTSDALE AV,,2018005646
6/12/18,1400,6/12/18 14:00,TARRYTOWN RD,AQUEDUCT RD,2018005679
6/14/18,1747,6/14/18 17:47,TARRYTOWN RD,287,2018005755
6/19/18,1702,6/19/18 17:02,LAKEVIEW AV,,2018005930
6/22/18,2050,6/22/18 20:50,TARRYTOWN RD,287,2018006042
6/24/18,1510,6/24/18 15:10,KNOLLWOOD RD,TARRYTOWN RD,2018006098
6/28/18,930,6/28/18 9:30,TARRYTOWN RD,KNOLLWOOD RD,2018006234
6/28/18,1751,6/28/18 17:51,E HARTSDALE AV,ROCKLEDGE RD,2018006259
6/29/18,852,6/29/18 8:52,SAW MILL RIVER RD,PAYNE ST,2018006280
6/29/18,1545,6/29/18 15:45,JACKSON AV,,2018006295
7/1/18,1318,7/1/18 13:18,JACKSON AV,GRASSY SPRAIN RD,2018006356
7/2/18,1345,7/2/18 13:45,WINNETOU RD,,2018006389
7/2/18,1548,7/2/18 15:48,VIRGINIA RD,,2018006398
7/3/18,830,7/3/18 8:30,JACKSON AV,SPRAIN BROOK PKW,2018006421
7/7/18,1542,7/7/18 15:42,DOBBS FERRY RD,,2018006578
7/12/18,855,7/12/18 8:55,SAW MILL RIVER RD,PAYNE ST,2018006748
7/12/18,1144,7/12/18 11:44,N CENTRAL AV,CHATTERTON PKWY,2018006754
7/13/18,1230,7/13/18 12:30,S CENTRAL AV,,2018006796
7/25/18,1125,7/25/18 11:25,SAW MILL RIVER RD,,2018007151
8/3/18,1210,8/3/18 12:10,S CENTRAL AVE,INVERNESS RD,2018007459
10/9/18,1657,10/9/18 16:57,TARRYTOWN RD,KNOLLWOOD RD WB,2018009607
9/30/18,1727,9/30/18 17:27,SAW MILL RIVER RD,EXIT OF 350 SAW MI,2018009272
8/23/18,2018,8/23/18 20:18,N CENTRAL AVE,CONCORD AVE,2018008097
9/25/18,1400,9/25/18 14:00,E HARTSDALE AVE,N CENTRAL AVE,2018009118
10/16/18,814,10/16/18 8:14,JACKSON AVE,,2018009822
11/19/18,1355,11/19/18 13:55,TARRYTOWN RD,,2018011064
11/21/18,1833,11/21/18 18:33,TARRYTOWN RD,,2018011149
11/22/18,1516,11/22/18 15:16,TARRYTOWN RD,HILLSIDE AVE,2018011174
12/4/18,1150,12/4/18 11:50,TARRYTOWN RD,HILLSIDE AVE,2018011539
12/8/18,1107,12/8/18 11:07,TARRYTOWN RD,,2018011671
12/22/18,1916,12/22/18 19:16,S CENTRAL AV,INVERNESS RD,2018012147
11/12/18,1000,11/12/18 10:00,WALBROOKE RD,,2018010799
11/12/18,1240,11/12/18 12:40,JACKSON AVE,,2018010804
11/15/18,2155,11/15/18 21:55,HILLTOP LN,SURREY WAY,2018010909
8/3/18,1216,8/3/18 12:16,W HARTSDALE AVE,,2018007460
8/23/18,907,8/23/18 9:07,CROSS HILL RD,,2018008073
8/27/18,1730,8/27/18 17:30,18 N CENTRAL AV,,2018008211
9/9/18,1853,9/9/18 18:53,N CENTRAL AV,ALEXANDER AV,2018008642
9/11/18,1555,9/11/18 15:55,N CENTRAL AV,HARVARD DR,2018008962
10/1/18,1448,10/1/18 14:48,LYNWOOD RD,,2018009322
10/30/18,913,10/30/18 9:13,LAWTON AVE,WILSON ST,2018010362
12/27/18,1316,12/27/18 13:16,SAW MILL RIVER RD,SECOR RD,2018012270
8/31/18,1059,8/31/18 10:59,W.HARTSDALE AV,N.WASHINGTON AV,2018008356
8/26/18,1520,8/26/18 15:20,111 WOOD AV,,2018008170
9/27/18,2050,9/27/18 20:50,ARDSLEY RD,OLD ARMY RD,2018009211
10/25/18,1709,10/25/18 17:09,JACKSON AVE,,2018010202
11/18/18,1851,11/18/18 18:51,ARDSLEY RD,S CENTRAL AV,2018011027
11/21/18,1800,11/21/18 18:00,TARRYTOWN RD,,2018011149
12/13/18,1617,12/13/18 16:17,S CENTRAL AVE,,2018011837
5/8/18,1730,5/8/18 17:30,CENTRAL AVE,MOUNT JOY AVE,2018004440
8/26/18,1520,8/26/18 15:20,111 WOOD AV,,2018008170
9/20/18,1554,9/20/18 15:54,TARRYTOWN RD,DOBBS FERRY RD,2018008964
9/24/18,1830,9/24/18 18:30,S. CENTRAL AVE,,2018009093
12/5/18,1510,12/5/18 15:10,ROUND HILL RD,,2018011577
12/26/18,1810,12/26/18 18:10,CENTRAL AVE,,2018012252
12/28/18,1500,12/28/18 15:00,JACKSON AVE,,2018012316
8/1/18,1430,8/1/18 14:30,KNOLLWOOD RD,,2018007398
8/3/18,1513,8/3/18 15:13,GRASSLANDS RD,KNOLLWOOD RD,2018007468
8/15/18,1635,8/15/18 16:35,KNOLLWOOD RD,NORMANDY RD,2018007835
8/19/18,549,8/19/18 5:49,24 NORTH RD,POLK,2018007954
8/27/18,1242,8/27/18 12:42,TARRYTOWN RD,,2018008199
9/6/18,1602,9/6/18 16:02,KNOLLWOOD RD,TARRYTOWN RD,2018008545
9/20/18,2149,9/20/18 21:49,AQUEDUCT RD,,20188972
10/2/18,1950,10/2/18 19:50,NORTH RD,,2018009363
10/17/18,1746,10/17/18 17:46,TARRYTOWN RD,,2018009882
10/18/18,1253,10/18/18 12:53,50 TARRYTOWN RD,,2018009906
10/30/18,1606,10/30/18 16:06,KNOLLWOOD RD,TARRYTOWN RD RA,2018010374
11/6/18,912,11/6/18 9:12,KNOLLWOOD RD,TARRYTOWN RD,2018010577
11/9/18,1753,11/9/18 17:53,JACKSON AVE,SPRAIN BROOK PKW,2018010735
11/15/18,1331,11/15/18 13:31,670 WHITE PLAINS RD,,2018010888
12/17/18,1726,12/17/18 17:26,KNOLLWOOD RD,TARRYTOWN RD,2018011968
