date,time,date_time,roadway,intersection,report_number
5/7/18,1715,5/7/18 17:15,S CENTRAL AV,,2018004393
5/8/18,948,5/8/18 9:48,E HARTSDALE AV,N CENTRAL AV,2018004420
5/8/18,1347,5/8/18 13:47,DOBBS FERRY RD,,2018004431
4/23/18,540,4/23/18 5:40,S MONTGOMERY AV,,2018004444
5/9/18,1017,5/9/18 10:17,HILLSIDE AV,,2018004459
5/9/18,1920,5/9/18 19:20,BENEDICT AV,,2018004489
5/11/18,1414,5/11/18 14:14,1155 KNOLLWOOD RD,MAYFAIR WAY,2018004549
5/14/18,1014,5/14/18 10:14,280 N CENTRAL AV,,2018004646
5/14/18,2033,5/14/18 20:33,GRASSLANDS RD,,2018004677
5/16/18,811,5/16/18 8:11,JACKSON AV,,2018004722
5/17/18,1110,5/17/18 11:10,CENTRAL AV,,2018004761
5/18/18,1834,5/18/18 18:34,E HARTSDALE AV,,2018004809
5/20/18,2350,5/20/18 23:50,STADIUM RD,,2018004852
5/20/18,1045,5/20/18 10:45,E HARTSDALE AV,,2018004858
5/20/18,1250,5/20/18 12:50,HARTSDALE RD,HILLCREST AV,2018004864
5/20/18,1639,5/20/18 16:39,RIDGE RD,RIDGE RD PARK,2018004870
5/21/18,335,5/21/18 3:35,51 BOULDER RDG,,2018004878
5/21/18,1913,5/21/18 19:13,TARRYTOWN RD,MANHATTAN AV,2018004912
5/22/18,1423,5/22/18 14:23,OLD KNOLLWOOD RD,KNOLLWOOD RD,2018004940
5/24/18,1620,5/24/18 16:20,FIELDSTONE DR,,2018005015
5/24/18,1645,5/24/18 16:45,DOBBS FERRY RD,VERNE PL,2018005016
5/25/18,1315,5/25/18 13:15,SPRING ST,BENEDICT AV,2018005041
5/29/18,1035,5/29/18 10:35,EVANDALE RD,,2018005176
5/30/18,1006,5/30/18 10:06,ETHELTON RD,PERRY AV,2018005219
5/31/18,904,5/31/18 9:04,SAW MILL RIVER RD,,2018005251
6/1/18,2016,6/1/18 20:16,SPRAIN RD,,2018005323
6/3/18,1415,6/3/18 14:15,SAW MILL RIVER RD,,2018005378
6/4/18,848,6/4/18 8:48,ARDSLEY RD,SPRAIN RD,2018005390
6/6/18,1330,6/6/18 13:30,706 S CENTRAL AV,,2018005463
6/8/18,1620,6/8/18 16:20,DOBBS FERRY RD,,2018005545
6/11/18,1020,6/11/18 10:20,UNDERHILL RD,CLAYTON RD,2018005635
6/11/18,1348,6/11/18 13:48,GRASSLANDS RD,KNOLLWOOD RD,2018005641
6/15/18,1651,6/15/18 16:51,SAW MILL RIVER RD,HUNTER LN,2018005786
6/17/18,1453,6/17/18 14:53,ARDSLEY RD,FORT HILL RD,2018005851
6/19/18,1339,6/19/18 13:39,MANITOU TRL,,2018005921
6/19/18,1510,6/19/18 15:10,GRASSLANDS RD,KNOLLWOOD RD,2018005927
6/24/18,1346,6/24/18 13:46,KNOLLWOOD RD,PAYNE ST,2018006095
6/26/18,1634,6/26/18 16:34,W HARTSDALE AV,RIDGE RD,2018006177
6/27/18,1515,6/27/18 15:15,GRASSLANDS RD,55 GRASSLANDS RD,2018006211
6/29/18,1739,6/29/18 17:39,TARRYTOWN RD,,2018006298
6/30/18,2300,6/30/18 23:00,FLORENCE AV,,2018006317
6/30/18,2000,6/30/18 20:00,N CENTRAL AV,,2018006339
7/8/18,1152,7/8/18 11:52,500 TOWN GREEN DR,,2018006430
7/3/18,1828,7/3/18 18:28,SAW MILL RIVER RD,PAYNE ST,2018006454
